# module	divergent-functions	behaviour-risks	generated-methods
AI.States.FightAI.CharmedState.AIState_Charmed	1	0	0
AI.States.FightAI.CombatEndActionsState.AIState_AcceptDefeat	1	0	0
AI.States.FightAI.CombatEndActionsState.AIState_ClaimVictory	1	0	0
AI.States.FightAI.CombatEndActionsState.AIState_CombatEndActions	1	0	0
AI.States.FightAI.CombatState.AIGroup_Attackers	5	0	0
AI.States.FightAI.CombatState.AIGroup_Combat	2	0	0
AI.States.FightAI.CombatState.AIState_OGCombat	5	0	0
AI.States.FightAI.CombatState.CombatMoves	16	0	0
AI.States.FightAI.CombatState.CombatOperations	1	0	0
AI.States.FightAI.CombatState.CombatTestClasses	1	0	0
AI.States.FightAI.CombatState.Positioning.AICombat_Positioning	13	0	0
AI.States.FightAI.DisengageBehavior.AIState_Disengage	1	0	0
AI.States.FightAI.FearState.AIState_Fear	1	0	0
AI.States.FightAI.FleeState.AIState_Flee	2	0	0
AI.States.FightAI.GoGetGuardState.AIState_GoGetGuard	1	0	0
AI.States.FightAI.SearchState.AIState_Search	10	0	0
AI.States.FightAI.SleeperFight.OC_KDF_Milten_Sleeper.Environment.MiltenSleeper_Brazier	1	0	0
AI.States.FightAI.SleeperFight.XT_DMB_Xardas_404_Sleeper.Environment.MinionSpotManager	1	0	0
AI.States.FightAI.SleeperFight.XT_DMB_Xardas_404_Sleeper.Environment.Xardas_Sleeper_Minion_BillboardComponent	1	0	0
AI.States.FightAI.WarningState.AIState_Warning	1	0	0
AI.States.FightAI.WarningState.AIState_Warning_Crime	8	0	0
AI.States.FightAI.WatchFightState.AIGroup_WatchFight	1	0	0
AI.States.FightAI.WatchFightState.AIState_WatchFight	13	0	0
AI.States.Test.TestCharacters_Navigation	1	0	0
Camera.ConversationCameraConfig	1	0	0
Environment.GothicUltraDynamicControlerAS	1	0	0
GAS.Abilities.Combat.AttackLoop.Capsule.PyrolaserHitCapsuleComponent	1	0	0
GAS.Abilities.Locomotion.GA_Falling	1	0	0
GAS.Abilities.Passive.GA_PlayerPerception_CrimeRegistration	1	0	0
GAS.Abilities.Spells.Spells.Base.GA_Spell_Targetable	1	0	0
GAS.Abilities.Spells.Spells.Fire.GA_Spell_StormOfFire	1	0	0
GAS.Abilities.Spells.Spells.Light.GA_Spell_Light	1	0	0
GAS.Abilities.Spells.Spells.Summon.SpawnHelper.Base.SummonSpawnPlaceHelper	3	0	0
GAS.Abilities.Spells.Spells.Telekinesis.GA_Spell_Telekinesis	1	0	0
GAS.Abilities.Spells.Spells.Telekinesis.TelekinesisItemMovementVisual	1	0	0
GAS.Abilities.Spells.Spells.Transform.GA_Spell_Transform	2	0	0
GAS.Abilities.Spells.Visuals.Fire.FireRainVisual	1	0	0
GAS.Abilities.Spells.Visuals.Fire.InnosPrayVisual	2	0	0
GAS.Calculations.Damage	2	0	0
GAS.Effects.Debuffs.EffectStateComponent.Components.Derived.Drugs.Base.DrugDebuffEffectComponentBase	1	0	0
GAS.GASCharacterMixins	3	0	0
GAS.GASCharacterStateMixins	7	0	0
Gameplay.Magic.Components.InExtremo.InExtremoPropComponent	1	0	0
Items.Projectiles	2	0	0
Regions.Traits.QuestRelatedTraits	2	0	0
Sound.FXDefinitions.FXDefinitions_AttackImpact	1	0	0
Spawning.TriggerSpawner	1	0	0
Story.Achievements	9	0	0
Story.G1R.Conversation.Conversation_NC_BAU_RICELORD_900	1	0	0
Story.G1R.Conversation.Conversation_NC_ORG_LEFTY_844	1	0	0
Story.G1R.Conversation.Conversation_NC_SLD_LEE_700	1	0	0
Story.G1R.Conversation.Conversation_OC_GRD_ORRY_254	1	0	0
Story.G1R.Conversation.Conversation_OC_GRD_THORUS_200	1	0	0
Story.G1R.Conversation.Conversation_SC_NOV_DARRION_1312	1	0	0
Story.G1R.Conversation.Conversation_SC_NOV_LESTER	2	0	0
Story.G1R.Conversation.Conversation_SC_NOV_TALAS_1300	1	0	0
Story.G1R.Conversation.Conversation_UL_ORG_BLACKMAILER_888	2	0	0
Story.G1R.Conversation.Conversation_UL_OSL_UrShak_2200	1	0	0
Story.G1R.Conversation.Conversation_UL_STT_CAVALORN_336	1	0	0
Story.G1R.Conversation.Conversation_XT_DMB_XARDAS_404	1	0	0
Story.Support.DialogImport	1	0	0
Story.Support.G1R.StoryFunctions	1	0	0
